s0,s10,s90,s90d,red_flag
87,41,11,0,0
19,19,15,3,0
15,12,6,1,0
31,23,8,0,0
102,73,78,17,0
95,57,77,14,0
48,31,13,0,0
88,68,70,13,0
81,38,90,3,0
102,70,64,3,0
90,71,89,5,0
89,71,68,9,0
95,76,73,10,0
102,82,88,16,0
100,76,91,10,0
104,158,249,248,1
98,60,69,10,0
127,62,151,31,0
95,70,81,11,0
40,30,8,0,0
102,76,77,11,0
86,71,67,18,0
86,73,75,7,0
36,17,5,2,0
91,64,70,13,0
95,73,96,5,0
110,55,109,7,0
28,22,11,1,0
108,69,85,11,0
45,20,12,0,0
102,82,98,15,0
86,77,96,19,0
86,65,52,5,0
95,73,84,11,0
95,71,98,5,0
102,68,72,15,0
36,28,6,0,0
95,68,97,5,0
38,28,10,2,0
36,31,9,0,0
111,68,85,14,0
47,26,15,0,0
111,76,92,12,0
94,69,70,8,0
90,78,102,14,0
99,71,99,8,0
101,76,90,18,0
103,80,88,9,0
19,30,17,0,0
102,83,160,22,0
95,96,136,13,0
94,68,103,8,0
102,69,92,17,0
102,74,99,16,0
84,68,85,8,0
117,102,108,21,0
93,64,95,13,0
103,89,135,19,0
93,64,57,10,0
94,78,84,20,0
43,34,14,3,0
88,82,77,9,0
33,28,13,2,0
84,63,75,12,0
40,33,3,0,0
87,71,84,11,0
91,70,68,10,0
89,77,73,6,0
73,41,15,1,0
83,65,67,9,0
33,24,5,4,0
96,67,82,7,0
36,30,4,2,0
100,69,80,18,0
86,73,51,1,0
40,29,11,1,0
112,81,118,12,0
110,77,121,14,0
97,72,74,17,0
90,82,107,12,0
99,85,113,23,0
97,73,78,11,0
110,77,164,20,0
103,87,118,21,0
89,65,69,12,0
45,30,15,0,0
104,71,88,8,0
101,68,119,26,0
102,75,123,14,0
92,69,62,10,0
15,13,11,0,0
104,75,83,11,0
52,41,9,2,0
102,74,62,12,0
45,30,6,0,0
44,31,5,0,0
11,14,7,1,0
94,69,64,9,0
37,32,14,1,0
41,28,9,1,0
96,72,80,7,0
