s0,s10,s90,s90d
92,77,97,18
95,38,24,6
44,30,9,0
47,36,4,1
109,83,95,23
94,70,80,8
103,83,94,7
60,31,10,2
139,90,79,10
86,75,86,5
25,24,10,1
125,88,150,48
97,71,105,10
43,40,10,1
75,42,24,0
94,53,80,12
44,33,11,2
100,57,33,1
43,43,13,0
40,48,6,0
40,33,10,1
92,55,19,5
109,83,72,17
42,32,12,2
12,12,11,1
93,82,120,16
101,83,111,9
80,99,98,49
92,75,80,60
41,31,9,0
36,24,14,2
31,28,7,0
49,34,18,0
88,46,24,1
53,31,18,3
119,91,137,19
110,83,130,19
77,85,74,27
43,29,9,0
87,72,74,62
101,47,26,3
45,24,11,1
103,59,105,6
81,89,103,67
107,70,101,14
97,43,22,1
75,85,107,83
90,75,79,9
97,66,55,21
43,35,18,0
91,52,146,51
91,61,104,9
62,23,58,8
29,29,5,0
46,35,11,0
109,91,114,16
79,115,102,79
99,48,28,3
42,36,5,1
72,83,78,45
104,86,139,78
90,81,68,7
90,88,80,17
105,86,97,9
40,40,7,0
89,44,23,3
105,78,94,11
41,34,9,0
31,32,6,4
84,39,25,2
51,40,12,1
98,70,91,13
96,82,140,22
47,31,15,3
29,23,11,3
87,69,90,10
30,26,12,4
32,24,15,1
97,41,23,5
40,38,13,2
68,86,90,54
108,80,92,8
42,34,10,0
94,82,74,15
88,92,103,43
40,27,8,2
69,87,131,48
101,89,117,16
38,27,5,0
63,98,120,90
101,79,64,1
37,39,16,4
51,29,9,0
85,100,149,5
66,43,52,2
105,88,156,23
38,31,11,0
93,61,52,9
69,81,90,51
32,33,11,0
81,82,85,8
33,25,5,1
45,45,9,0
107,91,99,16
40,33,9,7
105,79,158,35
109,70,100,15
38,30,14,0
105,71,73,9
99,51,32,0
31,30,5,0
47,36,14,1
30,30,14,0
89,77,125,17
93,72,88,18
103,83,112,11
101,46,26,0
74,38,16,1
36,34,8,0
39,31,6,2
41,31,10,0
105,57,30,1
81,70,67,11
115,89,126,16
41,40,11,2
83,89,97,41
75,111,128,93
45,32,10,6
104,84,111,9
92,69,52,10
38,25,8,0
101,74,109,26
83,69,89,49
44,52,29,7
101,81,100,8
85,91,88,35
81,121,103,87
97,74,142,24
69,95,85,56
34,31,10,0
102,78,104,10
34,30,9,0
32,29,6,1
106,91,107,18
32,30,10,0
95,67,55,12
104,73,79,11
104,74,94,15
93,74,80,7
30,24,3,0
94,71,75,6
35,28,6,0
77,44,22,6
91,55,12,1
101,86,105,10
49,37,15,6
89,55,36,4
101,78,137,15
68,94,142,109
103,80,87,12
106,77,97,19
101,78,120,16
98,76,81,7
97,70,99,11
38,37,18,0
103,40,26,0
117,90,166,21
66,78,97,76
109,69,101,18
95,65,81,7
100,77,106,7
54,46,10,4
29,26,5,0
54,87,133,79
35,29,5,0
98,80,92,15
103,59,88,50
80,79,97,8
108,91,98,9
41,28,14,4
124,51,28,0
105,62,106,18
46,36,12,2
111,93,104,10
20,17,14,0
100,97,118,17
39,28,13,2
90,46,85,11
29,24,11,5
32,27,7,0
91,66,69,39
100,82,129,14
38,35,15,0
29,25,10,0
34,28,8,1
109,95,129,20
103,66,99,20
40,33,7,3
36,25,6,0
32,36,8,1
19,20,12,3
99,73,110,22
94,73,57,5
29,26,14,0
47,34,14,1
40,34,12,1
75,65,141,40
51,44,16,1
33,24,4,0
106,85,87,15
63,48,12,1
99,71,65,6
90,81,82,20
90,65,52,8
99,67,88,11
100,68,70,16
92,55,37,5
47,37,23,4
35,21,7,0
37,33,11,0
90,38,22,3
112,87,118,12
35,27,11,0
25,19,10,2
60,40,8,0
31,23,7,0
36,31,5,0
86,45,24,6
39,41,6,2
94,47,27,2
53,38,7,1
35,28,7,0
101,73,80,22
42,40,8,5
101,68,85,6
97,76,80,14
108,73,113,14
36,37,7,2
100,87,142,74
35,33,10,7
14,11,8,0
77,88,73,38
28,24,5,0
101,56,33,1
75,98,83,66
32,32,5,0
42,31,14,0
98,46,34,0
57,58,62,9
29,34,4,2
96,46,31,1
106,75,91,21
96,62,92,14
101,73,94,20
103,66,91,7
105,82,112,27
96,77,79,16
99,77,49,7
102,76,92,11
105,70,103,13
119,81,154,12
103,76,106,19
27,20,9,0
44,36,6,3
48,32,12,0
105,77,131,22
106,74,89,15
96,78,74,13
101,79,102,18
37,27,9,1
93,37,24,0
116,79,108,11
43,41,7,2
111,84,119,19
110,111,76,8
101,96,126,12
88,66,90,9
59,55,15,0
43,36,14,0
122,95,178,22
90,74,75,9
99,81,148,18
113,71,125,24
32,29,6,0
102,73,57,10
118,84,113,29
43,38,12,0
28,26,9,0
110,68,126,14
47,37,9,0
91,60,62,12
41,30,7,2
91,53,185,50
114,64,99,15
91,71,66,5
29,30,5,1
86,53,21,0
46,20,15,5
103,85,90,10
91,72,68,10
90,66,78,11
81,77,97,62
99,78,73,9
90,56,76,15
38,30,10,0
45,26,12,1
103,53,33,4
45,31,12,1
30,26,7,2
101,50,30,3
11,8,5,0
81,161,249,248
15,24,6,3
95,60,76,15
99,83,168,29
46,29,70,13
109,62,119,37
47,29,13,1
103,52,30,6
42,31,7,2
93,70,86,21
49,39,11,0
103,71,88,9
30,24,10,1
91,73,74,13
100,69,75,10
54,32,12,0
37,36,11,1
100,78,127,17
102,86,132,18
32,7,27,3
107,84,93,16
88,49,27,6
48,34,13,1
34,29,6,0
101,72,80,10
90,76,88,11
40,38,6,0
36,30,19,1
114,46,124,14
29,33,9,2
40,30,7,0
42,32,18,2
43,22,16,4
40,36,8,0
17,13,12,1
45,36,13,3
31,37,6,0
36,35,10,5
75,35,20,0
48,30,19,1
97,80,72,8
51,31,11,1
35,36,7,0
103,93,118,22
71,57,60,5
97,78,81,6
124,62,126,17
117,94,121,24
45,24,9,2
41,43,7,1
93,72,85,7
101,51,29,2
89,77,80,18
91,45,31,1
56,41,7,3
94,69,93,8
30,25,8,6
111,83,119,24
93,36,39,0
103,72,80,11
68,91,79,40
37,32,6,1
30,31,12,1
98,75,100,11
32,28,4,4
50,40,17,4
114,72,115,57
93,36,33,0
43,33,10,2
100,68,58,10
102,68,74,12
36,37,15,5
97,82,74,19
113,94,124,30
37,30,8,1
35,31,8,0
34,29,14,0
97,68,59,9
112,77,98,22
41,32,14,2
34,32,11,0
102,79,104,5
52,31,14,1
40,33,15,6
97,79,85,13
94,72,88,18
33,32,15,0
104,70,141,21
26,22,7,0
25,16,6,3
34,29,7,2
52,33,15,6
46,30,9,0
94,70,86,10
87,75,87,84
49,31,13,2
43,31,2,3
111,77,112,12
29,30,4,2
98,88,118,16
40,29,6,2
94,71,81,20
41,29,15,3
34,34,7,0
19,17,8,0
20,23,15,0
59,31,17,4
104,80,97,16
